# ID RA(J2000) DEC(J2000) Z E_Z
        1421  295.4265523   40.0319849  0.19140667  0.00026000
        1489  295.1118849   40.0146079  0.06852667  0.00014000
        1841  295.1813814   40.0436711  0.15486333  0.00021667
         166  295.2067454   40.1683429  0.00620000  0.00013000
         322  295.4214730   40.3302008  0.06374667  0.00045000
         430  295.1746700   40.1586400 -0.00007673  0.00000043
        2045  295.4073062   40.0629518  0.15995666  0.00042000
         592  295.0963700   40.3095300  0.00005413  0.00000060
         509  295.3495000   40.2000800 -0.00001460  0.00002263
        1667  295.3416200   40.2005800  0.00000347  0.00001493
         573  295.2843065   40.1442231  0.11218000  0.00022667
        1572  295.1894600   40.3675000  0.00000430  0.00000137
         825  295.5353060   39.9893166  0.13467333  0.00020667
          26  295.0785587   40.0578039  0.06912667  0.00019000
        1361  295.3930000   40.1893900  0.00001160  0.00000080
        1205  295.1195420   40.2326880  0.11592000  0.00031333
         449  295.3963451   40.2998535  0.07453000  0.00020000
          70  295.4314299   40.3054120  0.10383333  0.00030333
        1260  295.3711700   40.2135300  0.00001727  0.00002007
        1945  295.1627500   40.2025300  0.00000977  0.00000040
         534  295.4170240   40.2397012  0.05777000  0.00019000
        1806  295.3297500   40.1476100  0.00000347  0.00000043
         818  295.3367500   40.1793900 -0.00002493  0.00000053
         274  295.2208300   40.2117200  0.00001020  0.00000213
         285  295.2118169   40.2714681  0.14215666  0.00042000
        2028  295.5191752   40.3006837  0.08605000  0.00070667
        1600  295.4394197   40.2450021  0.06866000  0.00010333
         396  295.4454600   40.3739200  0.00000953  0.00000057
        1874  295.5563700   40.2644700  0.00000707  0.00000063
        2135  295.3792914   40.2455935  0.10173333  0.00034667
        1324  295.1195800   40.3284200 -0.00003393  0.00000100
         613  295.5750845   39.9900079  0.07931000  0.00020333
        1101  295.2231700   40.2410800  0.00000860  0.00000037
         320  295.3175400   40.1906700  0.00001633  0.00000133
        2245  295.1562100   40.1910600 -0.00004580  0.00000380
        2108  295.3210400   40.1810600  0.00000313  0.00000060
        1748  295.4189383   40.1450193  0.16215333  0.00030000
        1750  295.3897046   40.2569306  0.09716333  0.00018333
        1924  295.1113159   40.1233896  0.10590000  0.00017333
        2172  295.5461700   40.0164700 -0.00008803  0.00000027
        1261  295.4086200   40.3658900 -0.00016330  0.00000077
        1654  295.3306200   40.1036100 -0.00022437  0.00000057
        2230  295.3515400   40.1520800  0.00000503  0.00000173
        1935  295.1802900   40.1490800 -0.00005897  0.00001470
         862  295.2208809   40.3271115  0.15210333  0.00021333
         114  295.4450000   40.0904400 -0.00006357  0.00000153
         317  295.4599965   40.3356966  0.10656667  0.00017333
        1010  295.3343624   40.1150930  0.13505334  0.00017333
        2187  295.3971700   40.1960800  0.00000693  0.00000100
        1153  295.1208300   40.2066900 -0.00000833  0.00000027
        1702  295.3142500   40.2160800 -0.00008710  0.00000167
        2309  295.4133899   40.0257345  0.10711667  0.00020000
         409  295.4096200   40.0573100  0.00000847  0.00000077
        1617  295.3110225   40.3660582  0.09857000  0.00020333
         925  295.5302543   40.0423914  0.16686666  0.00017333
         315  295.3613525   40.1229064  0.16377333  0.00030667
         226  295.3361200   40.2539200 -0.00013573  0.00000047
        1898  295.4391287   40.1917678  0.14390001  0.00027667
         779  295.3276725   40.1543129  0.06693333  0.00013000
         713  295.5245800   40.0152500 -0.00005200  0.00000420
        1115  295.3519200   40.2221700  0.00001110  0.00000143
         262  295.1101899   40.0095984  0.10888667  0.00027667
        1547  295.2716119   40.0340945  0.13565333  0.00020667
         616  295.2521341   40.2453166  0.09786667  0.00017333
         181  295.2819802   40.1799544  0.11702666  0.00019000
        1046  295.3621700   40.3200000 -0.00019403  0.00000603
        1885  295.5554600   40.0485300 -0.00004297  0.00000227
        2384  295.2984174   40.1717641  0.16723667  0.00028667
         857  295.5452900   40.2120300 -0.00013833  0.00000203
        1141  295.4206700   40.2238900 -0.00002033  0.00000057
         435  295.2690800   40.0808100  0.00003700  0.00000097
        1269  295.2380242   40.0701297  0.13686667  0.00039000
        1525  295.2845400   40.2757500  0.00000733  0.00000273
        1692  295.4756644   40.2949721  0.09150000  0.00013000
        2226  295.0841228   40.3266004  0.08453666  0.00012667
        1608  295.5204600   40.3514400  0.00001743  0.00000137
        1399  295.4046336   40.1493791  0.16636333  0.00037667
        1866  295.4099600   40.1428900  0.00004760  0.00000460
         153  295.4320400   40.3259700  0.00000820  0.00000040
        1167  295.2675800   40.1655800 -0.00005010  0.00000043
        1569  295.2304811   40.0896445  0.04197667  0.00030667
         803  295.3370919   40.2676575  0.07593333  0.00013000
        2110  295.5100800   40.2015300 -0.00000087  0.00000190
         740  295.1765097   40.1683040  0.17701000  0.00030000
        1417  295.5213307   40.0980900  0.07108667  0.00014667
        1810  295.2969235   40.0244419  0.15627000  0.00026000
        1575  295.3408700   40.0340300 -0.00007970  0.00000020
         845  295.1114381   40.3487435  0.10057667  0.00026333
         476  295.4131387   40.2664346  0.08886667  0.00017333
         584  295.5554389   40.3417373  0.08947334  0.00013333
         819  295.2937900   40.1350600  0.00000633  0.00000127
        1965  295.3796700   40.2613900 -0.00011983  0.00000047
        1843  295.3667617   40.0235894  0.02972667  0.00022000
        2358  295.3826427   40.0055073  0.08180000  0.00020000
         794  295.3255435   40.1502958  0.11420000  0.00017333
        1059  295.1135045   40.0695247  0.12346666  0.00021667
         727  295.4294251   39.9837624  0.10514000  0.00018333
         522  295.2185626   40.2133881  0.12701000  0.00020333
         882  295.2963011   40.2593243  0.10097333  0.00025667
        1255  295.4984882   39.9945512  0.09568000  0.00017667
         847  295.4814792   40.0934384  0.07136667  0.00021667
        1234  295.2418300   40.1552200 -0.00010550  0.00000140
         827  295.2579200   40.2594700  0.00001260  0.00000083
        1918  295.2854200   40.2152800  0.00000957  0.00000200
        2143  295.1046777   40.3510757  0.07434000  0.00035000
         186  295.3963700   40.1185000 -0.00030310  0.00000110
        2176  295.2710401   40.1010465  0.09508333  0.00021333
          38  295.4734200   40.2452500 -0.00005447  0.00000103
        2369  295.3188300   40.1085000  0.00001017  0.00000060
         494  295.1115800   40.3205300 -0.00008940  0.00000133
        1386  295.3151700   40.1696100  0.00000470  0.00000043
        1128  295.4956971   40.2443413  0.06520000  0.00013000
        1568  295.1032100   40.2022800  0.00000850  0.00000090
          54  295.3113700   40.0444700  0.00000527  0.00000153
          86  295.4444680   40.0472775  0.10108667  0.00025667
        2132  295.1335800   40.2505800  0.00000307  0.00001003
         130  295.0856747   40.3799508  0.20730001  0.00034667
         999  295.3292900   39.9965600 -0.00002680  0.00000037
          95  295.5225799   40.1014544  0.14222333  0.00027667
        1663  295.5701700   40.0271700 -0.00014247  0.00000110
        1422  295.4524693   40.3302202  0.12455667  0.00027000
         443  295.1476696   40.1790407  0.06192667  0.00011667
         457  295.2950000   40.0130800 -0.00020637  0.00000133
         643  295.1827500   40.1666700 -0.00010517  0.00000217
         913  295.5364600   40.0124700 -0.00001457  0.00000087
        1914  295.5186700   40.1767500 -0.00002813  0.00000023
        1160  295.4495000   40.2455800 -0.00007177  0.00000037
         381  295.1301023   40.3031406  0.04124667  0.00019333
        1052  295.2857900   40.2249700  0.00000667  0.00000070
          35  295.3075951   40.0847395  0.06838000  0.00030667
         985  295.3692900   40.1993600  0.00004657  0.00000080
        2316  295.1390000   40.2713600 -0.00004410  0.00000060
        2099  295.1542729   40.1642054  0.10255667  0.00032000
        1721  295.4310800   40.1360800 -0.00012630  0.00000083
        1820  295.3053300   40.2138100  0.00002173  0.00000120
         131  295.2279200   40.1691400  0.00000673  0.00000217
        1041  295.4819600   40.2646100  0.00005373  0.00000027
         352  295.2756035   40.0858826  0.15447000  0.00032667
         355  295.3187900   40.1981700  0.00001243  0.00000133
        1819  295.2534600   40.1866100 -0.00000523  0.00000083
         140  295.5540980   40.1031408  0.16078667  0.00030333
         566  295.3163300   40.1757500  0.00001250  0.00000260
         799  295.3247900   40.1871700  0.00000783  0.00000297
         218  295.3493700   40.1642800  0.00001240  0.00000060
         225  295.1159600   40.1518300 -0.00005773  0.00000270
         544  295.5652500   40.2165000 -0.00003510  0.00000080
         162  295.2995679   40.1907150  0.10015666  0.00025667
        1719  295.5038612   40.2118056  0.07347000  0.00017333
         408  295.1696085   40.2724060  0.16040333  0.00020333
        1661  295.3486135   40.0181159  0.07583334  0.00019000
        2052  295.5873605   40.3346316  0.09073333  0.00039000
         508  295.1212096   40.0144511  0.20179000  0.00024000
         665  295.1701200   40.2243600 -0.00002150  0.00000040
        2133  295.3550800   40.3208900  0.00002740  0.00000087
         601  295.3787100   40.3642500 -0.00044723  0.00002893
        1821  295.3130000   40.3523300 -0.00005983  0.00000093
        1915  295.5469200   40.0904200 -0.00001873  0.00000057
         817  295.1303186   40.2230877  0.10976667  0.00042333
        2012  295.4187236   40.3811276  0.10365666  0.00020333
         261  295.2639200   40.0272800 -0.00026163  0.00000077
        1934  295.2001200   40.1356900  0.00000613  0.00000067
         193  295.4973700   40.2141100 -0.00001907  0.00000077
          83  295.4522100   40.2967500 -0.00010997  0.00000060
        2327  295.4523300   40.0654400 -0.00080613  0.00000087
         820  295.4412100   40.3586900 -0.00001697  0.00000203
        1038  295.3691200   40.1640800  0.00000613  0.00000017
         542  295.4959257   40.2720184  0.06038000  0.00028333
        2142  295.0765026   40.3151073  0.10619666  0.00033667
        2043  295.2574200   40.3266700  0.00001030  0.00000173
        2254  295.3207500   40.1873900 -0.00000467  0.00000133
        1091  295.4270400   40.1501100  0.00000847  0.00000133
         865  295.2557590   40.0740341  0.12662333  0.00038000
         764  295.2964600   40.1950800  0.00000690  0.00000093
         219  295.1086703   40.1492227  0.07904334  0.00020000
        1970  295.3886889   40.1390944  0.12184333  0.00018333
        1514  295.3366322   40.3700887  0.05692667  0.00024000
        1134  295.3290400   40.1625000  0.00001200  0.00000133
         135  295.3181200   40.1387800  0.00000553  0.00000257
        1436  295.4852500   40.3317500 -0.00006190  0.00000243
         971  295.0845469   40.2595075  0.02420000  0.00021667
         229  295.2903644   40.0833382  0.05689333  0.00014667
        2081  295.3419200   40.3466400 -0.00000440  0.00000007
        1171  295.4683664   39.9840384  0.06873333  0.00017333
        2271  295.4410000   40.0485600 -0.00013237  0.00000193
        2122  295.3509600   40.3280800 -0.00007940  0.00000190
         345  295.2333700   40.2276700  0.00000937  0.00000067
        1836  295.3347721   39.9963395  0.15687333  0.00032000
        1062  295.5310800   40.2393600 -0.00006460  0.00000133
         116  295.1531700   40.1948900  0.00000080  0.00000343
         954  295.0952100   40.1002200 -0.00017510  0.00000317
         893  295.2015400   40.1790000  0.00004413  0.00000167
        1245  295.4206864   40.0778240  0.13396667  0.00034667
        1984  295.1488300   40.3342800 -0.00053467  0.00000017
        1458  295.3469600   40.1127500 -0.00001900  0.00000123
        1195  295.1555060   40.3532773  0.09976666  0.00030667
        1607  295.4758300   40.2508900  0.00005373  0.00000040
        1009  295.0717158   40.1456845  0.08571666  0.00022667
        2387  295.5702900   40.2286100 -0.00008110  0.00000077
        2086  295.3623700   40.3338100 -0.00019887  0.00000100
        1004  295.3991277   40.2507564  0.04222000  0.00014333
         538  295.0986610   40.0749978  0.03013333  0.00017333
        2306  295.1278499   40.0455377  0.22266333  0.00030000
        2312  295.5424200   40.1412500 -0.00000290  0.00000020
          94  295.3100400   40.1955600  0.00000713  0.00000133
         734  295.5346200   40.3188900 -0.00002223  0.00000010
        1189  295.3966700   40.2363900  0.00000700  0.00000063
         204  295.5256599   40.0920070  0.06670333  0.00022000
        1536  295.1278991   40.0807199  0.11754000  0.00021333
         420  295.1289084   40.1639873  0.18176667  0.00022667
         707  295.2866606   40.3626947  0.19688667  0.00025667
        2053  295.4853300   40.3131400  0.00002680  0.00000057
        1502  295.5477811   40.1909459  0.06866000  0.00010333
        1876  295.1163023   40.2243253  0.13648666  0.00019000
         992  295.5819274   40.1548123  0.12168667  0.00022667
         732  295.3685714   40.0812505  0.10120667  0.00026000
        2250  295.1814008   40.1900173  0.07276667  0.00013333
        1402  295.4798700   40.1846700 -0.00001603  0.00000080
        1329  295.2445688   40.3620668  0.07666667  0.00021667
        1263  295.5342500   40.3352500 -0.00005640  0.00000063
        1889  295.5369419   40.0169398  0.05295667  0.00022000
          84  295.0801717   40.3887984  0.10956334  0.00037333
         958  295.4532100   40.0527500 -0.00016013  0.00000580
        1629  295.4481064   40.1644306  0.04695667  0.00026000
         302  295.3395000   40.2325800  0.00000500  0.00000107
         649  295.5812428   40.3300017  0.14968000  0.00018667
         936  295.5764237   40.2772587  0.06801000  0.00010333
         210  295.5505800   40.3241900 -0.00010213  0.00000737
        1595  295.4898700   40.2161700  0.00001037  0.00000113
         784  295.5026200   40.1668600 -0.00005403  0.00002553
        2343  295.2505400   40.0603100  0.00000723  0.00000130
        1882  295.2186510   40.0704004  0.09956000  0.00024333
        2255  295.2019027   39.9785092  0.08353333  0.00017333
        2034  295.3430624   40.2915374  0.12903000  0.00023333
         826  295.2874992   39.9972696  0.10925333  0.00032667
         284  295.5456704   40.3228328  0.00468667  0.00013000
        1027  295.2055800   40.1519400  0.00001583  0.00000010
        1162  295.5678700   40.1569400 -0.00001060  0.00000083
        1847  295.1919665   40.3124455  0.07768667  0.00017000
         377  295.2467500   40.1055300 -0.00022467  0.00000053
         115  295.0736916   40.1991631  0.12491667  0.00025667
        2289  295.2962900   40.1589700  0.00001290  0.00000083
        1672  295.2827100   40.1859700  0.00000710  0.00000050
        2410  295.3208700   40.1011100  0.00000507  0.00000623
         324  295.4497900   40.1982800  0.00000393  0.00000047
           1  295.2157100   40.2044200 -0.00012927  0.00000180
        2350  295.4847900   40.0393900  0.00008453  0.00000060
        1714  295.1763312   40.2018093  0.09386333  0.00017000
        2347  295.5598381   40.1119547  0.09397667  0.00011667
        2313  295.4575217   40.0037457  0.09894667  0.00030333
         400  295.3240800   40.2861900  0.00002527  0.00002497
         406  295.2100260   40.1807468  0.04898667  0.00021667
        1766  295.1683308   40.1204783  0.07956666  0.00013000
        2106  295.2510000   40.1454400  0.00000337  0.00000023
        2170  295.5588367   40.1066301  0.09776000  0.00020000
         915  295.5140590   40.1615399  0.13107666  0.00017667
         445  295.4218350   40.3049557  0.07881334  0.00014000
        2029  295.3346700   40.3304700 -0.00001663  0.00000053
        2221  295.5537207   40.1743004  0.12267000  0.00017000
          17  295.2930800   40.1603900  0.00000523  0.00000137
        1413  295.2182472   40.1865977  0.12060000  0.00026000
        1457  295.1725496   40.3092462  0.11071000  0.00015667
        1892  295.3214600   40.2775000 -0.00006300  0.00000343
        1415  295.2728839   40.3782894  0.07758000  0.00017000
         864  295.5754437   40.2646575  0.09851667  0.00014333
        1997  295.5016800   40.0481496  0.07643333  0.00014000
         361  295.3389200   40.1992200  0.00000953  0.00000220
         253  295.4453700   40.0940600  0.00001713  0.00000333
         200  295.3609200   40.2092500  0.00000980  0.00000067
        1891  295.5056200   40.2165300 -0.00006203  0.00000393
        1278  295.4807900   40.2254400 -0.00016147  0.00000133
         876  295.5587900   40.3373600 -0.00012750  0.00000057
         397  295.2776200   40.1751100  0.00001127  0.00000113
        1024  295.3847371   40.3760108  0.12869667  0.00029000
         715  295.5266200   40.3077800  0.00004687  0.00000110
         706  295.2645000   40.1138300  0.00014073  0.00000490
         329  295.5637100   40.2091700 -0.00009683  0.00000363
        2216  295.1502221   40.1904638  0.06428000  0.00009667
        2364  295.1982225   39.9896074  0.07336333  0.00030000
        2403  295.5217145   40.1586895  0.17947000  0.00037667
         570  295.4995000   40.1823300 -0.00019477  0.00000133
         477  295.1911380   39.9888058  0.05658667  0.00011000
         907  295.1950895   40.2988494  0.11010333  0.00014000
        1372  295.3947100   40.1005800  0.00000560  0.00000097
        1202  295.1693300   40.2126900  0.00000693  0.00000047
        2275  295.4712713   40.0522472  0.04400333  0.00012000
        2341  295.2877213   40.2493802  0.10490333  0.00020000
         314  295.5317030   40.0881576  0.09295667  0.00022000
        1116  295.2318781   40.0505564  0.10458667  0.00021333
        1975  295.4481022   40.0554543  0.08542334  0.00017667
         467  295.3599600   40.2719700  0.00000683  0.00000093
        1355  295.4381200   40.1639200 -0.00009190  0.00000103
        1697  295.2771383   39.9829417  0.10572000  0.00023000
         359  295.2609200   40.2755300  0.00000737  0.00000247
        1244  295.3018300   40.0002800 -0.00000843  0.00000133
         507  295.3880003   40.0334714  0.09016000  0.00022667
         602  295.1972900   40.2023100  0.00000580  0.00000093
        1120  295.3832104   40.0933513  0.10776667  0.00030333
        2311  295.1627249   40.1772874  0.07330000  0.00017333
        2240  295.2989600   40.2387800  0.00000150  0.00000017
        1371  295.5113700   40.2801700 -0.00028823  0.00000057
         491  295.5374089   40.2751936  0.05916667  0.00012000
        1859  295.0817528   40.1835099  0.10230333  0.00013333
         930  295.5863046   40.1157799  0.13538666  0.00014000
          60  295.1861874   40.1969653  0.02202000  0.00023000
         571  295.3066700   40.1594400  0.00000857  0.00000063
        2331  295.0829185   40.3657620  0.12186667  0.00017333
        1273  295.3310000   40.2086700  0.00001507  0.00000240
        1705  295.1109638   40.3773376  0.09679000  0.00032667
         539  295.2459312   40.0134751  0.09565000  0.00017667
        2156  295.3926200   40.3291700  0.00002537  0.00000037
          75  295.3277048   40.3055905  0.05264333  0.00011000
          14  295.3904312   39.9767519  0.11810000  0.00052000
        2033  295.5298700   40.2881100 -0.00007223  0.00000057
        1168  295.5442752   40.1906845  0.09489000  0.00030667
         974  295.4947130   40.1372706  0.09851667  0.00014333
        1597  295.2265000   40.1521400  0.00000930  0.00000240
         231  295.5720000   40.0672500  0.00002943  0.00000023
        1311  295.4345400   40.3511700  0.00002030  0.00000117
         502  295.4151900   40.1818160  0.04153667  0.00012667
          79  295.3675800   40.2151400  0.00000243  0.00000160
        2041  295.3906530   40.0896744  0.09384666  0.00016333
        2282  295.3064600   40.2057200  0.00000790  0.00000077
        1083  295.1915800   40.2358900 -0.00003057  0.00000173
        2265  295.3540463   40.3594310  0.05458667  0.00014333
        1274  295.2034430   40.2861584  0.06545667  0.00017667
         603  295.3935000   40.1461400  0.00000427  0.00000093
        1443  295.1380318   40.3787945  0.11132333  0.00018667
        1078  295.3575800   40.3306400  0.00000670  0.00000063
         929  295.1068196   40.2516932  0.13673334  0.00017333
         822  295.4643723   40.2791723  0.06953000  0.00011333
        1085  295.4245000   40.2338100 -0.00018050  0.00000057
        2010  295.2605000   40.1719200  0.00000983  0.00000073
        1828  295.1023345   40.2116178  0.07198000  0.00027333
        1624  295.1442500   40.3686900 -0.00005757  0.00000027
         754  295.0729940   40.2978471  0.13293999  0.00023333
        1625  295.3031685   40.0174898  0.08372667  0.00024000
         710  295.2716700   40.3125600 -0.00019967  0.00000127
         872  295.0880000   40.3513600 -0.00017403  0.00000100
         172  295.2940730   40.1173012  0.07019667  0.00010333
         887  295.2376700   40.1685600  0.00000773  0.00000007
          28  295.2091700   40.2197200  0.00001087  0.00000107
        1666  295.2217500   40.1344400 -0.00002313  0.00000257
         988  295.4071700   40.2612500  0.00000907  0.00000050
          29  295.4475315   40.1414907  0.21146999  0.00032667
         127  295.3027500   40.1798900 -0.00000770  0.00000030
         559  295.5684997   40.3152073  0.06629334  0.00011000
         611  295.3297900   40.2706700  0.00001100  0.00000213
         899  295.3262500   40.1311900 -0.00000553  0.00000297
        1553  295.3251794   40.2453174  0.10217000  0.00027333
        1696  295.2552500   40.1709200  0.00000700  0.00000103
        2044  295.1810800   40.1113900  0.00001593  0.00000300
         258  295.5344630   40.1927561  0.12980001  0.00017333
        2095  295.3315047   40.1552098  0.20969333  0.00030000
         207  295.3224670   40.3345818  0.12024666  0.00038667
         252  295.2410000   40.0543100 -0.00007413  0.00000193
        1282  295.2592927   40.2381422  0.10853000  0.00018333
          51  295.4698945   40.1523232  0.06868666  0.00025000
        1707  295.3454811   40.1878576  0.10459667  0.00011667
        1198  295.2890800   40.2195300  0.00000613  0.00000067
        1941  295.5878557   40.1847153  0.07326667  0.00017333
        1676  295.4605800   40.3676100  0.00000767  0.00000153
          81  295.3372500   40.1924700  0.00001077  0.00000110
        2224  295.3274933   40.0479260  0.09039667  0.00029333
         132  295.2387900   40.2398100 -0.00001127  0.00000100
        1878  295.1107500   40.1390600 -0.00001623  0.00000107
        1944  295.2635800   40.0214700  0.00002870  0.00000230
         326  295.0785453   40.1922507  0.02385667  0.00027333
        1213  295.4209895   40.0386482  0.13236333  0.00024667
         909  295.5145574   40.1796353  0.15808333  0.00020667
        1690  295.4070000   40.2423900  0.00006530  0.00000033
        1203  295.4299213   39.9928715  0.06093333  0.00021667
        1223  295.1283820   40.1614536  0.09491666  0.00007333
        1581  295.1424559   40.2679254  0.04886000  0.00011667
         333  295.1659392   40.1969048  0.13031334  0.00015667
          66  295.3722904   40.1382098  0.11629333  0.00023333
        1207  295.1852136   40.2642217  0.07851333  0.00020333
        1710  295.1340845   40.0344824  0.09454333  0.00027000
        1131  295.5200400   40.3208100  0.00000743  0.00000140
         582  295.3125282   40.1123907  0.07173666  0.00012667
          25  295.0848672   40.3494612  0.17786333  0.00021333
        1757  295.4821102   40.2091205  0.14713334  0.00039333
        1093  295.4360800   40.1673300 -0.00006527  0.00000073
        1669  295.2625400   40.1613900 -0.00028230  0.00000087
        1962  295.1135912   40.1553475  0.02093333  0.00026000
        2014  295.2792900   40.3428900  0.00000237  0.00000007
         485  295.1852900   40.3010000 -0.00003010  0.00000207
        2408  295.5460000   40.3003600 -0.00025980  0.00000123
        1938  295.4712500   40.1539200  0.00000620  0.00000067
         641  295.5320000   40.3493600  0.00002570  0.00000057
        1395  295.2710905   40.2039130  0.04326333  0.00023000
        2345  295.3575339   40.2540291  0.10800000  0.00017333
        1533  295.2713466   40.2883027  0.07035667  0.00017333
         605  295.3314600   40.2886900 -0.00016297  0.00000047
        1086  295.1846200   40.2494400  0.00000570  0.00000107
         399  295.1188300   40.0870600 -0.00012063  0.00000723
        1516  295.4671506   40.1567377  0.11580000  0.00017333
         454  295.3932900   40.2967200  0.00000803  0.00000057
        1886  295.5344600   40.1341100 -0.00011557  0.00000110
         220  295.2228300   40.2185800  0.00001130  0.00000473
        1231  295.4428596   40.2403230  0.08988000  0.00018333
         682  295.1409600   40.0742800  0.00006263  0.00000077
        2011  295.4227557   40.0181803  0.17594333  0.00036333
         924  295.2449158   40.0116867  0.11782666  0.00020667
        1455  295.2831200   40.2871400  0.00001067  0.00000233
          37  295.5653700   40.1086400  0.00001250  0.00000157
        1176  295.1220835   40.1201798  0.06403334  0.00017333
         213  295.3136942   40.0546040  0.15069333  0.00041667
         543  295.4216050   40.2128441  0.05168333  0.00023000
        1807  295.1746108   40.1586497  0.02930333  0.00010000
        2386  295.1514600   40.3721400 -0.00008643  0.00000017
         384  295.3741700   40.2549700  0.00000603  0.00000103
        2098  295.5707402   40.1490287  0.09856334  0.00016333
        1870  295.3434200   40.2876400  0.00001100  0.00000047
        1424  295.3735000   40.1480000  0.00000557  0.00000127
         607  295.2267900   40.2756400 -0.00005577  0.00000190
         256  295.4390800   40.1660600 -0.00004537  0.00000080
        1989  295.5534200   40.3175300 -0.00033077  0.00000030
        1550  295.2333300   40.3108600  0.00000877  0.00000013
         600  295.1896700   40.1578600  0.00000543  0.00000163
        1106  295.4678300   40.3196900 -0.00001040  0.00000250
         489  295.5823309   40.0783467  0.13396667  0.00034667
        1484  295.3344200   40.2369700  0.00002270  0.00000030
        1419  295.5851797   40.3331055  0.03603333  0.00005667
        1026  295.3320400   40.2093600  0.00000353  0.00000170
        1593  295.2448501   40.2703828  0.06490333  0.00021667
        1868  295.1604723   39.9915715  0.13047333  0.00029000
        1049  295.0926700   40.1468900  0.00001017  0.00000023
        1832  295.5407356   40.1812432  0.07793333  0.00013000
         700  295.2363798   40.2688179  0.05237667  0.00020333
        2060  295.1071200   40.0131400 -0.00001063  0.00000060
         197  295.5503574   40.1632312  0.02880667  0.00019333
        1737  295.2425853   40.3240072  0.07603333  0.00013000
         269  295.2737500   40.2215300  0.00000320  0.00000070
        1694  295.4430000   40.0412500 -0.00008897  0.00001457
         506  295.1775530   40.2319747  0.08242000  0.00025000
         461  295.2679600   40.1918600  0.00000743  0.00000227
        2171  295.0884200   40.3422200 -0.00001880  0.00000100
